# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nc/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-09-21 09:04:08 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02085070 ENO RIVER NEAR DURHAM, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02085070
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd
USGS	02085070	2012-08-31 11:00	EDT	5.8	P
USGS	02085070	2012-08-31 11:15	EDT	5.8	P
USGS	02085070	2012-08-31 11:30	EDT	5.7	P
USGS	02085070	2012-08-31 11:45	EDT	5.7	P
USGS	02085070	2012-08-31 12:00	EDT	5.8	P
USGS	02085070	2012-08-31 12:15	EDT	5.8	P
USGS	02085070	2012-08-31 12:30	EDT	5.8	P
USGS	02085070	2012-08-31 12:45	EDT	5.7	P
USGS	02085070	2012-08-31 13:00	EDT	5.8	P
USGS	02085070	2012-08-31 13:15	EDT	5.7	P
USGS	02085070	2012-08-31 13:30	EDT	5.5	P
USGS	02085070	2012-08-31 13:45	EDT	5.5	P
USGS	02085070	2012-08-31 14:00	EDT	5.7	P
USGS	02085070	2012-08-31 14:15	EDT	5.5	P
USGS	02085070	2012-08-31 14:30	EDT	5.5	P
USGS	02085070	2012-08-31 14:45	EDT	5.5	P
USGS	02085070	2012-08-31 15:00	EDT	5.5	P
USGS	02085070	2012-08-31 15:15	EDT	5.7	P
USGS	02085070	2012-08-31 15:30	EDT	5.5	P
USGS	02085070	2012-08-31 15:45	EDT	5.5	P
USGS	02085070	2012-08-31 16:00	EDT	5.5	P
USGS	02085070	2012-08-31 16:15	EDT	5.5	P
USGS	02085070	2012-08-31 16:30	EDT	5.5	P
USGS	02085070	2012-08-31 16:45	EDT	5.5	P
USGS	02085070	2012-08-31 17:00	EDT	5.5	P
USGS	02085070	2012-08-31 17:15	EDT	5.5	P
USGS	02085070	2012-08-31 17:30	EDT	5.5	P
USGS	02085070	2012-08-31 17:45	EDT	5.7	P
USGS	02085070	2012-08-31 18:00	EDT	5.7	P
USGS	02085070	2012-08-31 18:15	EDT	5.7	P
USGS	02085070	2012-08-31 18:30	EDT	5.5	P
USGS	02085070	2012-08-31 18:45	EDT	5.5	P
USGS	02085070	2012-08-31 19:00	EDT	5.7	P
USGS	02085070	2012-08-31 19:15	EDT	5.5	P
USGS	02085070	2012-08-31 19:30	EDT	5.7	P
USGS	02085070	2012-08-31 19:45	EDT	5.5	P
USGS	02085070	2012-08-31 20:00	EDT	5.7	P
USGS	02085070	2012-08-31 20:15	EDT	5.5	P
USGS	02085070	2012-08-31 20:30	EDT	5.5	P
USGS	02085070	2012-08-31 20:45	EDT	5.7	P
USGS	02085070	2012-08-31 21:00	EDT	5.5	P
USGS	02085070	2012-08-31 21:15	EDT	5.7	P
USGS	02085070	2012-08-31 21:30	EDT	5.5	P
USGS	02085070	2012-08-31 21:45	EDT	5.7	P
USGS	02085070	2012-08-31 22:00	EDT	5.7	P
USGS	02085070	2012-08-31 22:15	EDT	5.7	P
USGS	02085070	2012-08-31 22:30	EDT	5.7	P
USGS	02085070	2012-08-31 22:45	EDT	5.7	P
USGS	02085070	2012-08-31 23:00	EDT	5.7	P
USGS	02085070	2012-08-31 23:15	EDT	5.7	P
USGS	02085070	2012-08-31 23:30	EDT	5.7	P
USGS	02085070	2012-08-31 23:45	EDT	5.7	P
USGS	02085070	2012-09-01 00:00	EDT	5.7	P
USGS	02085070	2012-09-01 00:15	EDT	5.7	P
USGS	02085070	2012-09-01 00:30	EDT	5.7	P
USGS	02085070	2012-09-01 00:45	EDT	5.8	P
USGS	02085070	2012-09-01 01:00	EDT	5.7	P
USGS	02085070	2012-09-01 01:15	EDT	5.8	P
USGS	02085070	2012-09-01 01:30	EDT	5.8	P
USGS	02085070	2012-09-01 01:45	EDT	5.8	P
USGS	02085070	2012-09-01 02:00	EDT	5.8	P
USGS	02085070	2012-09-01 02:15	EDT	6.0	P
USGS	02085070	2012-09-01 02:30	EDT	6.0	P
USGS	02085070	2012-09-01 02:45	EDT	5.8	P
USGS	02085070	2012-09-01 03:00	EDT	6.0	P
USGS	02085070	2012-09-01 03:15	EDT	6.0	P
USGS	02085070	2012-09-01 03:30	EDT	6.0	P
USGS	02085070	2012-09-01 03:45	EDT	6.0	P
USGS	02085070	2012-09-01 04:00	EDT	6.0	P
USGS	02085070	2012-09-01 04:15	EDT	6.0	P
USGS	02085070	2012-09-01 04:30	EDT	6.0	P
USGS	02085070	2012-09-01 04:45	EDT	6.0	P
USGS	02085070	2012-09-01 05:00	EDT	6.0	P
USGS	02085070	2012-09-01 05:15	EDT	6.0	P
USGS	02085070	2012-09-01 05:30	EDT	6.0	P
USGS	02085070	2012-09-01 05:45	EDT	6.0	P
USGS	02085070	2012-09-01 06:00	EDT	6.0	P
USGS	02085070	2012-09-01 06:15	EDT	6.0	P
USGS	02085070	2012-09-01 06:30	EDT	6.0	P
USGS	02085070	2012-09-01 06:45	EDT	6.0	P
USGS	02085070	2012-09-01 07:00	EDT	6.2	P
USGS	02085070	2012-09-01 07:15	EDT	6.0	P
USGS	02085070	2012-09-01 07:30	EDT	6.2	P
USGS	02085070	2012-09-01 07:45	EDT	6.2	P
USGS	02085070	2012-09-01 08:00	EDT	6.2	P
USGS	02085070	2012-09-01 08:15	EDT	6.0	P
USGS	02085070	2012-09-01 08:30	EDT	6.2	P
USGS	02085070	2012-09-01 08:45	EDT	6.0	P
USGS	02085070	2012-09-01 09:00	EDT	6.0	P
USGS	02085070	2012-09-01 09:15	EDT	6.0	P
USGS	02085070	2012-09-01 09:30	EDT	6.0	P
USGS	02085070	2012-09-01 09:45	EDT	5.8	P
USGS	02085070	2012-09-01 10:00	EDT	6.0	P
USGS	02085070	2012-09-01 10:15	EDT	6.0	P
USGS	02085070	2012-09-01 10:30	EDT	5.8	P
USGS	02085070	2012-09-01 10:45	EDT	5.8	P
USGS	02085070	2012-09-01 11:00	EDT	5.8	P
USGS	02085070	2012-09-01 11:15	EDT	5.8	P
USGS	02085070	2012-09-01 11:30	EDT	5.7	P
USGS	02085070	2012-09-01 11:45	EDT	5.7	P
USGS	02085070	2012-09-01 12:00	EDT	5.8	P
USGS	02085070	2012-09-01 12:15	EDT	5.7	P
USGS	02085070	2012-09-01 12:30	EDT	5.7	P
USGS	02085070	2012-09-01 12:45	EDT	5.8	P
USGS	02085070	2012-09-01 13:00	EDT	5.7	P
USGS	02085070	2012-09-01 13:15	EDT	5.7	P
USGS	02085070	2012-09-01 13:30	EDT	5.8	P
USGS	02085070	2012-09-01 13:45	EDT	5.5	P
USGS	02085070	2012-09-01 14:00	EDT	5.7	P
USGS	02085070	2012-09-01 14:15	EDT	6.0	P
USGS	02085070	2012-09-01 14:30	EDT	6.2	P
USGS	02085070	2012-09-01 14:45	EDT	6.3	P
USGS	02085070	2012-09-01 15:00	EDT	6.3	P
USGS	02085070	2012-09-01 15:15	EDT	6.3	P
USGS	02085070	2012-09-01 15:30	EDT	6.0	P
USGS	02085070	2012-09-01 15:45	EDT	6.0	P
USGS	02085070	2012-09-01 16:00	EDT	5.8	P
USGS	02085070	2012-09-01 16:15	EDT	5.8	P
USGS	02085070	2012-09-01 16:30	EDT	5.8	P
USGS	02085070	2012-09-01 16:45	EDT	5.8	P
USGS	02085070	2012-09-01 17:00	EDT	5.8	P
USGS	02085070	2012-09-01 17:15	EDT	5.5	P
USGS	02085070	2012-09-01 17:30	EDT	5.7	P
USGS	02085070	2012-09-01 17:45	EDT	5.7	P
USGS	02085070	2012-09-01 18:00	EDT	5.7	P
USGS	02085070	2012-09-01 18:15	EDT	5.5	P
USGS	02085070	2012-09-01 18:30	EDT	5.5	P
USGS	02085070	2012-09-01 18:45	EDT	5.5	P
USGS	02085070	2012-09-01 19:00	EDT	5.5	P
USGS	02085070	2012-09-01 19:15	EDT	5.3	P
USGS	02085070	2012-09-01 19:30	EDT	5.5	P
USGS	02085070	2012-09-01 19:45	EDT	5.5	P
USGS	02085070	2012-09-01 20:00	EDT	5.3	P
USGS	02085070	2012-09-01 20:15	EDT	5.5	P
USGS	02085070	2012-09-01 20:30	EDT	5.5	P
USGS	02085070	2012-09-01 20:45	EDT	5.3	P
USGS	02085070	2012-09-01 21:00	EDT	5.3	P
USGS	02085070	2012-09-01 21:15	EDT	5.3	P
USGS	02085070	2012-09-01 21:30	EDT	5.5	P
USGS	02085070	2012-09-01 21:45	EDT	5.5	P
USGS	02085070	2012-09-01 22:00	EDT	5.3	P
USGS	02085070	2012-09-01 22:15	EDT	5.5	P
USGS	02085070	2012-09-01 22:30	EDT	5.3	P
USGS	02085070	2012-09-01 22:45	EDT	5.3	P
USGS	02085070	2012-09-01 23:00	EDT	5.5	P
USGS	02085070	2012-09-01 23:15	EDT	5.5	P
USGS	02085070	2012-09-01 23:30	EDT	5.3	P
USGS	02085070	2012-09-01 23:45	EDT	5.3	P
USGS	02085070	2012-09-02 00:00	EDT	5.5	P
USGS	02085070	2012-09-02 00:15	EDT	5.3	P
USGS	02085070	2012-09-02 00:30	EDT	5.5	P
USGS	02085070	2012-09-02 00:45	EDT	5.5	P
USGS	02085070	2012-09-02 01:00	EDT	5.3	P
USGS	02085070	2012-09-02 01:15	EDT	5.5	P
USGS	02085070	2012-09-02 01:30	EDT	5.5	P
USGS	02085070	2012-09-02 01:45	EDT	5.5	P
USGS	02085070	2012-09-02 02:00	EDT	5.5	P
USGS	02085070	2012-09-02 02:15	EDT	5.5	P
USGS	02085070	2012-09-02 02:30	EDT	5.5	P
USGS	02085070	2012-09-02 02:45	EDT	5.5	P
USGS	02085070	2012-09-02 03:00	EDT	5.5	P
USGS	02085070	2012-09-02 03:15	EDT	5.7	P
USGS	02085070	2012-09-02 03:30	EDT	5.5	P
USGS	02085070	2012-09-02 03:45	EDT	5.7	P
USGS	02085070	2012-09-02 04:00	EDT	5.7	P
USGS	02085070	2012-09-02 04:15	EDT	5.5	P
USGS	02085070	2012-09-02 04:30	EDT	5.7	P
USGS	02085070	2012-09-02 04:45	EDT	5.5	P
USGS	02085070	2012-09-02 05:00	EDT	5.7	P
USGS	02085070	2012-09-02 05:15	EDT	5.7	P
USGS	02085070	2012-09-02 05:30	EDT	5.8	P
USGS	02085070	2012-09-02 05:45	EDT	5.8	P
USGS	02085070	2012-09-02 06:00	EDT	5.7	P
USGS	02085070	2012-09-02 06:15	EDT	5.8	P
USGS	02085070	2012-09-02 06:30	EDT	5.8	P
USGS	02085070	2012-09-02 06:45	EDT	5.7	P
USGS	02085070	2012-09-02 07:00	EDT	5.7	P
USGS	02085070	2012-09-02 07:15	EDT	5.7	P
USGS	02085070	2012-09-02 07:30	EDT	5.7	P
USGS	02085070	2012-09-02 07:45	EDT	5.7	P
